년도,대학,전형명,계열,모집단위,전과목,국,수,영,탐1,탐2
2023,유한대학교,학생부위주,예체능,시각디자인학과,6.267,,,,,
2023,연성대학교,학생부위주,자연,실내건축과,5.902,7.0,6.0,8.0,6.0,6.0
2023,신구대학교,학생부위주,예체능,시각디자인과,5.802,5.0,6.0,8.0,5.0,8.0
2023,동양미래대학교,학생부위주,인문,경영학과,5.955,7.0,6.0,5.0,6.0,7.0
2023,신안산대학교,학생부위주,예체능,뷰티디자인과,7.228,7.0,8.0,7.0,7.0,7.0
2023,공주대(예산),교과,자연,조경학과,5.477,4.0,7.0,5.0,4.0,9.0
2023,백석예술대학교,종합,예체능,영상학부,4.596,5.0,8.0,2.0,5.0,5.0
2023,평택대,교과,인문,국제지역학부,5.846,6.0,7.0,6.0,5.0,7.0
2023,신한대(의정부),교과,인문,글로벌관광경영학과,4.504,6.0,6.0,4.0,4.0,4.0
2023,안양대,교과,인문,글로벌경영학과(야),4.504,6.0,6.0,4.0,4.0,4.0
2023,한동대,종합,인문,전 모집단위,4.324,4.0,5.0,2.0,5.0,5.0
2023,서울여대,종합,인문,경제학과,3.444,5.0,2.0,3.0,5.0,7.0
2023,가톨릭대(성심),종합,인문,경제학과,3.444,5.0,2.0,3.0,5.0,7.0
2023,한세대,교과,인문,미디어영상광고학과,3.444,5.0,5.0,6.0,3.0,4.0
2023,성결대,교과,인문,국어국문학과,3.444,5.0,5.0,6.0,3.0,4.0
2023,연성대학교,학생부위주,자연,호텔외식조리과,5.451,,,,,
2023,우송대,교과,자연,외식조리학부(한식조리과학전공),5.451,,,,,
2023,청운대(홍성),교과,인문,호텔조리식당경영학과,5.451,,,,,
2023,동양미래대학교,학생부위주,인문,경영정보학과,6.427,7.0,8.0,6.0,6.0,7.0
2023,평택대,교과,자연,ICT융합학부(ICT환경융합학과),5.856,7.0,7.0,7.0,8.0,9.0
2023,단국대(천안),교과,인문,아시아중동학부(베트남학전공),3.684,5.0,4.0,4.0,3.0,5.0
2023,안산대학교,학생부위주,예체능,시각미디어디자인학과,5.889,,,,,
2023,연성대학교,학생부위주,예체능,시각디자인과,5.889,,,,,
2023,수원여자대학교,학생부위주,예체능,시각디자인과 그래픽디자인전공,5.889,,,,,
2023,유한대학교,학생부위주,예체능,시각디자인학과,5.889,,,,,
2023,배재대,교과,인문,글로벌비즈니스학과,7.108,,,,,
2023,김포대학교,학생부위주,인문,아동보육과,7.427,6.0,9.0,9.0,6.0,8.0
2023,동서울대학교,학생부위주,인문,아동보육과,7.427,6.0,9.0,9.0,6.0,8.0
2023,부천대학교,학생부위주,인문,아동보육과,7.427,6.0,9.0,9.0,6.0,8.0
2023,부천대학교,학생부위주,인문,아동보육과,7.427,6.0,9.0,9.0,6.0,8.0
2023,숭의여자대학교,학생부위주,인문,문헌정보과,5.308,5.0,6.0,3.0,5.0,5.0
2023,서강대,종합,인문,글로벌한국학부,1.798,3.0,5.0,2.0,1.0,3.0
2023,연세대,종합,인문,교육학부,1.798,3.0,5.0,2.0,1.0,3.0
2023,이화여대,교과,인문,영어영문학부,1.798,3.0,5.0,2.0,1.0,3.0
2023,성균관대,교과,인문,아동청소년학과,1.798,3.0,5.0,2.0,1.0,3.0
2023,유한대학교,학생부위주,예체능,시각디자인학과,5.991,6.0,8.0,4.0,5.0,6.0
2023,협성대,교과,인문,중국어문화학과,5.991,6.0,8.0,4.0,5.0,6.0
2023,한양여자대학교,실기위주,예체능,스포츠건강관리과,6.043,7.0,8.0,6.0,7.0,7.0
2023,한국외대,종합,인문,ELLT학과,2.034,4.0,4.0,2.0,6.0,6.0
2023,강릉영동대학교,학생부위주,자연,AI메타버스과,6.186,7.0,8.0,7.0,7.0,8.0
2023,한국영상대학교,면접위주,예체능,방송영상미디어과,6.186,7.0,8.0,7.0,7.0,8.0
2023,백석문화대학교,학생부위주,예체능,미디어영상학부,6.186,7.0,8.0,7.0,7.0,8.0
2023,UNIST,종합,자연,이공계열,1.728,3.0,2.0,2.0,4.0,5.0
2023,성균관대,종합,자연,컴퓨터교육과,1.728,3.0,2.0,2.0,4.0,5.0
2023,중앙대,교과,자연,창의ICT공과대학,1.728,3.0,2.0,2.0,4.0,5.0
2023,DGIST,종합,자연,융복합대학기초학부,1.728,3.0,2.0,2.0,4.0,5.0
2023,동양미래대학교,학생부위주,인문,호텔관광학과,6.094,7.0,9.0,7.0,8.0,9.0
2023,숭의여자대학교,학생부위주,인문,호텔관광과,6.094,7.0,9.0,7.0,8.0,9.0
2023,유한대학교,학생부위주,인문,호텔관광전공,6.094,7.0,9.0,7.0,8.0,9.0
2023,정화예술대학교,종합,공통,메이크업전공,8.009,9.0,8.0,8.0,7.0,7.0
2023,경인여자대학교,학생부위주,예체능,뷰티디자인학과 메이크업전공,8.009,9.0,8.0,8.0,7.0,7.0
2023,인덕대학교,학생부위주,인문,비즈니스중국어학과,7.059,,,,,
2023,동서울대학교,학생부위주,공통,엔터테인먼트경영과,7.059,,,,,
2023,인제대,교과,자연,식품영양・식품공학부,5.614,7.0,4.0,5.0,5.0,7.0
2023,청주대,교과,자연,제약공학과,5.614,7.0,4.0,5.0,5.0,7.0
2023,상명대,실기,예체능,스포츠무용학부(무용예술전공(현대무용)),3.577,6.0,8.0,4.0,5.0,6.0
2023,동덕여대,실기,예체능,무용전공,3.577,6.0,8.0,4.0,5.0,6.0
2023,단국대,실기,예체능,무용과(현대무용),3.577,6.0,8.0,4.0,5.0,6.0
2023,명지대,종합,인문,중어중문학과,3.769,5.0,5.0,3.0,5.0,6.0
2023,인하대,종합,인문,중국학과,3.769,5.0,5.0,3.0,5.0,6.0
2023,서울신학대,교과,자연,IT융합학부(IT융합소프트웨어학과),5.588,6.0,6.0,7.0,5.0,6.0
2023,청운대(인천),교과,자연,멀티미디어학과,5.588,6.0,6.0,7.0,5.0,6.0
2023,이화여대,종합,자연,인공지능학과(자연),2.126,4.0,2.0,4.0,3.0,6.0
2023,숭실대,교과,자연,전자정보공학부(IT융합전공),2.126,4.0,2.0,4.0,3.0,6.0
2023,동덕여대,종합,인문,일어일본학전공,3.624,,,,,
2023,서울여대,종합,인문,일어일문학과,3.624,,,,,
2023,가톨릭대(성심),종합,인문,일어일본문화학과,3.624,,,,,
2023,숙명여대,종합,인문,아동복지학부,2.393,5.0,4.0,1.0,1.0,7.0
2023,홍익대,종합,인문,서울캠퍼스자율전공(인문예능),2.393,5.0,4.0,1.0,1.0,7.0
2023,가톨릭대(성심),논술,인문,행정학과,5.547,6.0,8.0,3.0,4.0,5.0
2023,서영대학교,학생부위주,자연,간호학과,6.351,7.0,6.0,5.0,5.0,6.0
2023,동남보건대학교,학생부위주,자연,의료소프트웨어개발과,6.955,6.0,6.0,6.0,5.0,6.0
2023,가톨릭대(성심),종합,자연,의생명과학과,2.36,4.0,2.0,2.0,3.0,4.0
2023,동양대(북서울),실기,예체능,공연영상학부,5.667,7.0,6.0,6.0,6.0,7.0
2023,동양대(북서울),교과,인문,공공인재학부,5.667,7.0,6.0,6.0,6.0,7.0
2023,배화여자대학교,학생부위주,자연,소프트웨어공학과,5.153,7.0,5.0,4.0,5.0,6.0
2023,숭의여자대학교,학생부위주,자연,IT소프트웨어융합과,5.153,7.0,5.0,4.0,5.0,6.0
2023,가톨릭꽃동네대,교과,자연,간호학과,4.786,6.0,6.0,5.0,4.0,5.0
2023,국제대학교,학생부위주,자연,간호학과,4.786,6.0,6.0,5.0,4.0,5.0
2023,을지대(성남),교과,인문,휴먼서비스학부,3.949,5.0,5.0,2.0,3.0,5.0
2023,안양대,종합,자연,디지털미디어디자인학과,5.06,6.0,5.0,4.0,4.0,6.0
2023,한세대,교과,인문,경영학과,5.06,6.0,5.0,4.0,4.0,6.0
2023,신한대(의정부),종합,인문,미디어영상학과,5.06,6.0,5.0,4.0,4.0,6.0
2023,유한대학교,학생부위주,인문,광고미디어전공,5.06,6.0,5.0,4.0,4.0,6.0
2023,연성대학교,학생부위주,예체능,영상콘텐츠과(영상콘텐츠제작),5.06,6.0,5.0,4.0,4.0,6.0
2023,숙명여대,종합,인문,역사문화학과,2.667,4.0,4.0,2.0,1.0,4.0
2023,세종대,종합,인문,역사학과,2.667,4.0,4.0,2.0,1.0,4.0
2023,국민대,종합,인문,한국역사학과,2.667,4.0,4.0,2.0,1.0,4.0
2023,한신대,교과,인문,디지털영상문화콘텐츠학,4.778,5.0,5.0,4.0,4.0,6.0
2023,을지대(성남),종합,자연,바이오공학부,3.748,5.0,5.0,5.0,5.0,5.0
2023,협성대,교과,자연,의생명화학과,3.748,5.0,5.0,5.0,5.0,5.0
2023,동덕여대,교과,자연,데이터사이언스전공,3.108,5.0,4.0,3.0,4.0,7.0
2023,신한대(의정부),실기,예체능,태권도학부,4.427,8.0,6.0,4.0,5.0,6.0
2023,서경대,실기,예체능,광고홍보영상학과,4.877,6.0,5.0,5.0,5.0,6.0
2023,명지대,교과,인문,사학과,2.932,3.0,5.0,3.0,1.0,4.0
2023,경운대,교과,자연,치위생학과,6.632,8.0,6.0,7.0,6.0,8.0
2023,명지대(용인),교과,자연,자연과학대학,4.396,6.0,6.0,5.0,4.0,7.0
2023,인천대,종합,자연,화학과,4.396,6.0,6.0,5.0,4.0,7.0
2023,상명대,실기,예체능,스포츠무용학부(무용예술전공(한국무용)),6.851,8.0,7.0,5.0,7.0,8.0
2023,한국기술교대,교과,자연,기계공학부,4.081,6.0,4.0,3.0,4.0,6.0
2023,건국대(글로컬),교과,자연,메카트로닉스공학과,4.081,6.0,4.0,3.0,4.0,6.0
2023,김천대,교과,자연,치위생학과,5.386,5.0,5.0,5.0,6.0,7.0
2023,초당대,교과,자연,간호학과,5.386,5.0,5.0,5.0,6.0,7.0
2023,전북과학대학교,서류위주,자연,간호학과,5.386,5.0,5.0,5.0,6.0,7.0
2023,동신대,교과,자연,물리치료학과,5.47,7.0,8.0,4.0,5.0,7.0
2023,동강대학교,학생부위주,자연,간호학과,5.47,7.0,8.0,4.0,5.0,7.0
2023,세한대(영암),교과,자연,물리치료학과,5.47,7.0,8.0,4.0,5.0,7.0
2023,인덕대학교,서류위주,예체능,방송연예과,4.419,5.0,6.0,3.0,5.0,7.0
2023,서일대학교,실기위주,예체능,영화방송공연예술학과(연기예술전공),4.419,5.0,6.0,3.0,5.0,7.0
2023,가천대(글로벌),종합,자연,반도체전자공학부,4.333,6.0,3.0,3.0,7.0,8.0
2023,중부대(고양),교과,인문,국제통상학전공,3.808,,,2.0,5.0,8.0
2023,명지전문대학,학생부위주,인문,경영학과,3.808,,,2.0,5.0,8.0
2023,배화여자대학교,학생부위주,인문,글로벌커뮤니케이션과 영어전공,3.808,,,2.0,5.0,8.0
2023,성신여대,교과,자연,바이오헬스융합학부,2.658,4.0,4.0,3.0,6.0,6.0
2023,청운대(홍성),교과,인문,자율전공학부,5.816,7.0,6.0,6.0,6.0,7.0
2023,이화여대,논술,자연,컴퓨터공학과(자연),4.189,2.0,2.0,3.0,2.0,4.0
2023,동남보건대학교,학생부위주,자연,응급구조학과,3.558,5.0,,5.0,4.0,5.0
2023,우송대,교과,자연,응급구조학과,3.558,5.0,,5.0,4.0,5.0
2023,총신대,교과,인문,영어교육과,3.308,5.0,4.0,3.0,5.0,5.0
2023,한세대,교과,인문,산업보안학과,4.324,5.0,5.0,2.0,5.0,8.0
2023,경희대(국제),실기,예체능,PostModern음악학과,5.951,6.0,8.0,1.0,6.0,8.0
2023,강원대,종합,인문,인문학부,4.145,6.0,5.0,3.0,5.0,5.0
2023,단국대(천안),교과,인문,유럽중남미학부(포르투갈브라질학전공),4.145,6.0,5.0,3.0,5.0,5.0
2023,서울교대,종합,공통,초등교육학과,1.496,1.0,2.0,2.0,1.0,1.0
2023,연세대,종합,인문,교육학부,1.496,1.0,2.0,2.0,1.0,1.0
2023,성균관대,교과,인문,사회과학계열,1.496,1.0,2.0,2.0,1.0,1.0
2023,중앙대,교과,인문,경영학부(경영학전공),1.496,1.0,2.0,2.0,1.0,1.0
2023,동국대,논술,자연,산업시스템공학과,3.694,2.0,3.0,2.0,4.0,5.0
2023,안양대,종합,인문,영미언어문화학과,4.829,7.0,6.0,3.0,7.0,8.0
2023,서울신학대,교과,인문,아시아문화콘텐츠학부(일본어문화콘텐츠학과),4.829,7.0,6.0,3.0,7.0,8.0
2023,홍익대,종합,인문,서울캠퍼스자율전공(인문예능),2.564,3.0,5.0,2.0,3.0,4.0
2023,국민대,종합,인문,한국어문학부(국어국문학전공),2.564,3.0,5.0,2.0,3.0,4.0
2023,유한대학교,학생부위주,예체능,방송영상전공,4.949,6.0,4.0,6.0,4.0,8.0
2023,서울신학대,종합,인문,기독교교육과,6.103,6.0,7.0,6.0,6.0,6.0
2023,협성대,교과,인문,신학과,6.103,6.0,7.0,6.0,6.0,6.0
2023,성결대,교과,인문,신학과,6.103,6.0,7.0,6.0,6.0,6.0
2023,한신대,교과,인문,글로벌공공인재융합계열,5.655,6.0,6.0,4.0,6.0,7.0
2023,부천대학교,학생부위주,인문,세무회계학과,5.655,6.0,6.0,4.0,6.0,7.0
2023,대진대,종합,인문,미디어커뮤니케이션학과,4.462,5.0,5.0,3.0,7.0,8.0
2023,성신여대,종합,자연,수리통계데이터사이언스학부(수학핀테크),3.225,5.0,4.0,4.0,6.0,7.0
2023,한국성서대,교과,자연,간호학과,3.748,4.0,4.0,2.0,5.0,7.0
2023,수원여자대학교,학생부위주,자연,간호학과,4.504,5.0,4.0,4.0,4.0,7.0
2023,경동대(원주문막),교과,자연,간호학과,4.504,5.0,4.0,4.0,4.0,7.0
2023,한림성심대학교,학생부위주,자연,간호학과,4.504,5.0,4.0,4.0,4.0,7.0
2023,서울시립대,종합,인문,국제관계학과,1.949,1.0,5.0,1.0,1.0,1.0
2023,숙명여대,교과,인문,경영학부,1.949,1.0,5.0,1.0,1.0,1.0
2023,이화여대,종합,인문,소비자학과,1.949,1.0,5.0,1.0,1.0,1.0
2023,한국외대,교과,인문,포르투갈어과,1.949,1.0,5.0,1.0,1.0,1.0
2023,숙명여대,교과,인문,경제학부,2.051,5.0,2.0,2.0,3.0,5.0
2023,한국외대,교과,인문,ELLT학과,2.051,5.0,2.0,2.0,3.0,5.0
2023,이화여대,종합,인문,경제학과,2.243,2.0,3.0,2.0,1.0,3.0
2023,여주대학교,학생부위주,자연,보건의료행정과,6.556,,,,,
2023,명지대,교과,인문,정치외교학과,3.368,4.0,5.0,2.0,4.0,4.0
2022,명지대,교과,인문,어문학부,6.205,8.0,6.0,6.0,7.0,7.0
2022,강남대,종합,예체능,글로벌경영학부,6.205,8.0,6.0,6.0,7.0,7.0
2022,아주대,종합,인문,사회학과,6.205,8.0,6.0,6.0,7.0,7.0
2022,공주대,종합,인문,지리학과,6.205,8.0,6.0,6.0,7.0,7.0
2022,충북대,교과,인문,중어중문학과,6.205,8.0,6.0,6.0,7.0,7.0
2022,장로회신학대,교과,인문,기독교교육과,3.675,5.0,6.0,3.0,5.0,5.0
2022,총신대,종합,인문,기독교교육과,3.675,5.0,6.0,3.0,5.0,5.0
2022,총신대,교과,인문,영어교육과,3.675,5.0,6.0,3.0,5.0,5.0
2022,서울신학대,교과,인문,기독교교육과,3.675,5.0,6.0,3.0,5.0,5.0
2022,성결대,교과,인문,기독교교육상담학과,3.675,5.0,6.0,3.0,5.0,5.0
2022,경기과학기술대학교,학생부위주,자연,미래전기자동차과,6.018,8.0,8.0,7.0,8.0,8.0
2022,경민대학교,학생부위주,자연,컴퓨터소프트웨어과,6.018,8.0,8.0,7.0,8.0,8.0
2022,안양대,교과,인문,러시아언어문화학과,4.282,5.0,6.0,3.0,4.0,5.0
2022,차의과학대,종합,자연,간호대학,2.863,5.0,4.0,3.0,4.0,6.0
2022,홍익대(세종),종합,자연,세종캠퍼스자율전공(자연예능),4.343,6.0,6.0,3.0,7.0,7.0
2022,신한대,실기,예체능,실내디자인학과,5.877,8.0,,4.0,6.0,6.0
2022,중부대(고양),실기,예체능,산업디자인학전공,5.877,8.0,,4.0,6.0,6.0
2022,협성대,실기,예체능,가구디자인학과,5.877,8.0,,4.0,6.0,6.0
2022,안양대,종합,자연,도시정보공학과,5.104,,,,,
2022,인하공업전문대학,학생부위주,자연,건설환경공학과,5.104,,,,,
2022,가천대(메디컬),종합,자연,약학과(6년),1.793,2.0,1.0,3.0,1.0,3.0
2022,성균관대,종합,자연,공학계열,1.793,2.0,1.0,3.0,1.0,3.0
2022,고려대,교과,자연,식품공학과,1.793,2.0,1.0,3.0,1.0,3.0
2022,성신여대,종합,자연,융합보안공학과,3.099,5.0,4.0,4.0,6.0,8.0
2022,국군간호사관학교,기타,자연,국군간호사관학교,3.144,2.0,3.0,2.0,5.0,5.0
2022,경기대,종합,자연,사회에너지시스템공학과,3.658,4.0,7.0,3.0,7.0,7.0
2022,인천대,종합,자연,해양학과,3.658,4.0,7.0,3.0,7.0,7.0
2022,단국대(천안),교과,자연,에너지공학과,3.658,4.0,7.0,3.0,7.0,7.0
2022,동양미래대학교,학생부위주,인문,경영정보학과,7.105,7.0,7.0,6.0,8.0,7.0
2022,경인여자대학교,학생부위주,인문,사회복지학과,7.105,7.0,7.0,6.0,8.0,7.0
2022,동양미래대학교,학생부위주,자연,컴퓨터정보공학과,5.453,6.0,5.0,6.0,6.0,7.0
2022,인하대,종합,자연,해양과학과,2.613,4.0,5.0,2.0,5.0,6.0
2022,세종대,종합,자연,지구자원시스템공학과,2.613,4.0,5.0,2.0,5.0,6.0
2022,서경대,교과,예체능,헤어디자인학과,7.051,,,,,
2022,호서대(아산),교과,자연,식품영양학과,7.772,6.0,7.0,6.0,7.0,7.0
2022,성결대,교과,인문,사회복지학과,3.667,,,,,
